site,site_utm_zone,site_utme,site_utmn,area_sqr_m,site_code,site_elevation_m,depth_m,topo,wilderness,site_comments,site_id,region_id,site_name_alt,site_latitude,site_longitude,geographic_area,geographic_area_type,region,country_id,time_zone,rm,pop_id
"10516",11,367770,4095943,"26174",NA,"3560","12",split_mtn,kings_canyon,NA,c4977195-2f9d-4cc9-90fb-16b475c721dd,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,37.0003468249166,-118.486090349913,kings_mf_cartridge_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10517",11,372904,4095782,"154440",NA,"3493","23",mt_pinchot,kings_canyon,NA,726426af-cdf2-4a53-b5e2-1c272b517224,9d979cf0-9264-439b-9e04-1fc725acb7cd,cardinal lake,36.9996042729986,-118.428380478624,kings_sf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10518",11,373869,4086839,"13644",NA,"3550",NA,mt_pinchot,kings_canyon,NA,937ae3a8-d607-42ff-bcd5-fa26ec0b35d3,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9191423911757,-118.416044874498,kings_sf_woods_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10519",11,369194,4060205,"30768",NA,"3600","10",mt_brewer,kings_canyon,NA,b104df24-ad73-4882-a072-479a4c6621e7,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.6784855723596,-118.463938715994,kings_sf_bubbs_ck_east_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10520",11,371168,4063287,"5557",NA,"3050",NA,mt_brewer,kings_canyon,NA,53fc8404-1b3c-400d-a05c-ee180647606c,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7065301768517,-118.442371538749,kings_sf_bubbs_ck_east_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10521",11,374268,4070306,"5153",NA,"3210","3.1",mt_clarence_king,kings_canyon,NA,1200632c-faa3-4283-bb41-6c5080916c12,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7702014911771,-118.408830045254,kings_sf_bubbs_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10522",11,369729,4093020,"14265",NA,"3519","4.5",mt_pinchot,kings_canyon,NA,32e55b37-abe0-4cd4-b57b-fa14729a3f12,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9742797955058,-118.463575544345,kings_sf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10523",11,348773,4096172,"15500",NA,"3200","5.5",slide_bluffs,kings_canyon,NA,2e0c6e7e-b7b7-44a9-8d4a-219455c9d475,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9995456503161,-118.6995573472,kings_mf_alpine_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10525",11,362234,4099296,"6792",NA,"3213","5.8",north_palisade,kings_canyon,NA,2435e188-f96b-4a2b-ae9c-f27d46b42503,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,37.0297658868608,-118.54890063461,kings_mf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10526",11,365890,4068963,"6048",NA,"3112","2",the_sphinx,kings_canyon,NA,59c8ba3c-9762-4b8b-9487-ef1269faf0fa,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7569502508521,-118.502441202498,kings_sf_bubbs_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
